id,name,instructions,category,image_url,glass,is_popular
143,Greyhound,Add the vodka to a Collins glass filled with ice. Top with grapefruit juice and stir.,Cocktail,https://www.thecocktaildb.com/images/media/drink/g5upn41513706732.jpg,Collins glass,false
144,Gin Rickey,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,Cocktail,https://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,Highball glass,false
145,Gin Squirt,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",Cocktail,https://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,Highball glass,false
146,Grand Blue,Serve in an old fashioned glass.,Cocktail,https://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,Old-fashioned glass,false
147,Gin Cooler,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,Cocktail,https://www.thecocktaildb.com/images/media/drink/678xt11582481163.jpg,Collins glass,false
148,Gin Swizzle,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",Cocktail,https://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,Highball glass,false
149,Grass Skirt,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",Cocktail,https://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,Old-fashioned glass,false
150,Grasshopper,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,Cocktail,https://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,Cocktail glass,false
151,Grim Reaper,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,Cocktail,https://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,Old-fashioned glass,false
152,Gin And Soda,Pour the Gin and Soda water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,Cocktail,https://www.thecocktaildb.com/images/media/drink/nzlyc81605905755.jpg,Highball glass,false
153,H.d.,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,Coffee,https://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,Beer mug,false
154,Honey Bee,Shake ingredients with crushed ice.,Cocktail,https://www.thecocktaildb.com/images/media/drink/vu8l7t1582475673.jpg,Margarita glass,false
155,Hot Toddy,"STEP 1 Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water. STEP 2 Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.",Cocktail,https://www.thecocktaildb.com/images/media/drink/ggx0lv1613942306.jpg,Irish Coffee Cup,false
156,Herbal Flame,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",Coffee,https://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,Mason jar,false
157,Horse's Neck,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",Cocktail,https://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Highball glass,false
